condition,n,total,skipped_error,skipped_missing_ttft,skipped_outlier,ttft_ms_mean,ttft_ms_median,ttft_ms_p05,ttft_ms_p25,ttft_ms_p75,ttft_ms_p95,ttft_ms_min,ttft_ms_max
overlap_0,29,30,1,0,0,54.87212757901128,56.65639997459948,40.53537994623184,50.495399977080524,59.6159000415355,65.97084000241011,37.294500041753054,71.95219991263002
overlap_25,29,30,1,0,0,54.36621723568131,51.3245000038296,33.88378000818193,37.872000015340745,59.282499947585166,89.322659978643,27.845800039358437,129.6690000453964
overlap_50,29,30,0,0,1,52.08607930449191,52.0916999084875,31.20068006683141,39.429199998266995,56.673599989153445,67.67113995738328,28.04809994995594,146.96790010202676
overlap_75,29,30,1,0,0,47.364848260446614,48.26890002004802,29.185740021057427,35.45379999559373,54.251099936664104,76.13969999365504,27.998099918477237,84.68570001423359
overlap_100,30,30,0,0,0,46.60760334615285,46.72025004401803,29.12627002224326,37.95150000951253,50.76109996298328,62.7165449608583,26.7149000428617,92.1939000254497
