condition,n,ttft_ms_mean,ttft_ms_median,ttft_ms_p05,ttft_ms_p25,ttft_ms_p75,ttft_ms_p95,ttft_ms_min,ttft_ms_max
overlap_0,10,40.490179986227304,41.124100040178746,28.131679975194857,31.310899910749868,46.7635499953758,54.06124997534789,26.858899975195527,55.68440002389252
overlap_100,10,35.01747001428157,31.10500006005168,24.518780026119202,26.06385003309697,44.841074966825545,51.21302998159081,24.315200047567487,51.3356999726966
