condition,n,ttft_ms_mean,ttft_ms_median,ttft_ms_p05,ttft_ms_p25,ttft_ms_p75,ttft_ms_p95,ttft_ms_min,ttft_ms_max
overlap_0,30,620.5161791116878,616.2717440091549,573.8235757609768,599.415512467761,642.0197791970446,673.9057213072215,555.190612927051,683.6901751195827
overlap_100,30,358.500302744849,360.95189282385445,316.4218486343201,350.15980355966855,378.8451822341701,386.6279338098025,280.797668045852,401.70533083416643
